Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Fruit Juice Smoothie Odwalla Strawberry Banana,1,0,0,0,48,0.32,0.5,0.2,10,2,201,11.05,0.6,0,9.9
Fruit Juice Smoothie Naked Juice Strawberry Banana,1,0,0,0,50,0.27,0.48,0.2,10,2,201,11.66,0.6,0,10.05
Plantains Green Raw,1,0,0,0,152,0.07,1.25,0.75,2,2,431,36.66,2.2,0,2.29
Plantains Green Boiled,1,0,0,0,121,0.08,1.09,0.3,3,2,289,29.15,2.6,0,2.25
Raspberry Juice Concentrate,1,0,0,0,221,1.34,3.04,1.16,97,10,1178,53.19,1.1,0,38.21
Sun-Dried Tomatoes,0,0,1,0,258,2.97,14.11,9.09,110,107,3427,55.76,12.3,0,37.59
Baby Carrots,0,0,1,0,35,0.13,0.64,0.89,32,78,237,8.24,2.9,0,4.76
Sun-Dried Hot Chile Peppers,0,0,1,0,324,5.81,10.58,6.04,45,91,1870,69.86,28.7,0,41.06
Nopales,0,0,1,0,16,0.09,1.32,0.59,164,21,257,3.33,2.2,0,1.15
Fava Beans (Raw),0,0,1,0,88,0.73,7.92,1.55,37,25,332,17.63,7.5,0,9.21
Grape Leaves Raw,0,0,1,0,93,2.12,5.6,2.63,363,9,272,17.31,11,0,6.3
Jalapeno Peppers,0,0,1,0,29,0.37,0.91,0.25,12,3,248,6.5,2.8,0,4.12
Hungarian Peppers,0,0,1,0,29,0.41,0.8,0.46,12,1,202,6.7,1,0,3.53
Oyster Mushrooms,0,0,1,0,33,0.41,3.31,1.33,3,18,420,6.09,2.3,0,1.11
Shredded Coconut Meat,0,0,1,0,501,35.49,2.88,1.92,15,262,337,47.67,4.5,0,43.17
Almond Butter,0,0,1,0,614,55.5,20.96,3.49,347,7,748,18.82,10.3,0,4.43
Seeds Sunflower Seed Kernels Oil Roasted With Salt Added,0,0,1,0,592,51.3,20.06,4.28,87,303,483,22.89,10.6,0,3.11
Seeds Sunflower Seed Butter With Salt Added,0,1,0,0,617,55.2,17.28,4.12,64,331,576,23.32,5.7,0,10.54
Nuts Almonds Dry Roasted With Salt Added,0,1,0,0,598,52.54,20.96,3.73,268,234,713,21.01,10.9,0,4.86
Nuts Cashew Butter Plain With Salt Added,0,1,0,0,609,53.03,12.12,4.91,61,295,447,30.3,3,0,9.09
Nuts Macadamia Nuts Dry Roasted With Salt Added,0,1,0,0,716,76.08,7.79,2.65,70,353,363,12.83,8,0,4.14
Nuts Mixed Nuts Dry Roasted With Peanuts With Salt Added,0,0,1,0,594,51.45,17.3,3.7,70,345,693,25.35,9,0,4.8
Nuts Mixed Nuts Oil Roasted With Peanuts With Salt Added,0,0,1,0,607,53.95,20.04,2.61,117,273,632,21.05,7,0,4.15
Broccoli (Cooked),0,0,1,0,35,0.41,2.38,0.67,40,41,293,7.18,3.3,0,1.39
Broccoli Frozen Chopped Unprepared,0,0,1,0,26,0.29,2.81,0.81,56,24,212,4.78,3,0,1.35
Broccoli Frozen Chopped Cooked Boiled Drained Without Salt,0,0,1,0,28,0.12,3.1,0.61,33,11,142,5.35,3,0,1.47
Broccoli Frozen Spears Unprepared,0,0,1,0,29,0.34,3.06,0.72,41,17,250,5.35,3,0,1.47
Brussels Sprouts (Cooked),0,0,1,0,36,0.5,2.55,1.2,36,21,317,7.1,2.6,0,1.74
Brussels Sprouts Frozen Unprepared,0,0,1,0,41,0.41,3.78,0.93,26,10,370,7.86,3.8,0,2.03
Brussels Sprouts Frozen Cooked Boiled Drained Without Salt,0,0,1,0,42,0.39,3.64,0.48,26,15,290,8.32,4.1,0,2.08
Burdock Root Raw,0,0,1,0,72,0.15,1.53,0.8,41,5,308,17.34,3.3,0,2.9
Cabbage,0,0,1,0,25,0.1,1.28,0.47,40,18,170,5.8,2.5,0,3.2
Cooked Cabbage,0,0,1,0,23,0.06,1.27,0.17,48,8,196,5.51,1.9,0,2.79
Red Cabbage,0,0,1,0,31,0.16,1.43,0.8,45,27,243,7.37,2.1,0,3.83
Cooked Red Cabbage,0,0,1,0,29,0.09,1.51,0.66,42,28,262,6.94,2.6,0,3.32
Cabbage Chinese (Pe-Tsai) Raw,0,0,1,0,16,0.2,1.2,0.31,77,9,238,3.23,1.2,0,1.41
Carrots Frozen Unprepared,0,1,1,0,36,0.46,0.78,0.44,36,68,235,7.9,3.3,0,4.76
Carrots Frozen Cooked Boiled Drained Without Salt,0,1,1,0,37,0.68,0.58,0.53,35,59,192,7.73,3.3,0,4.08
Cassava,0,1,1,0,160,0.28,1.36,0.27,16,14,271,38.06,1.8,0,1.7
Cauliflower,0,1,1,0,25,0.28,1.92,0.42,22,30,299,4.97,2,0,1.91
Celery,0,1,0,0,14,0.17,0.69,0.2,40,80,260,2.97,1.6,0,1.34
Cooked Celery,0,1,1,0,18,0.16,0.83,0.42,42,91,284,4,1.6,0,2.37
Swiss Chard,0,1,0,0,19,0.2,1.8,1.8,51,213,379,3.74,1.6,0,1.1
Chicory Greens,0,1,0,0,23,0.3,1.7,0.9,100,45,420,4.7,4,0,0.7
Chicory Roots,0,1,0,0,72,0.2,1.4,0.8,41,50,290,17.51,1.5,0,8.73
Chives,0,1,0,0,30,0.73,3.27,1.6,92,3,296,4.35,2.5,0,1.85
Collards Frozen Chopped Cooked Boiled Drained Without Salt,0,1,0,0,36,0.41,2.97,1.12,210,50,251,7.1,2.8,0,0.57
Cilantro,0,1,0,0,23,0.52,2.13,1.77,67,46,521,3.67,2.8,0,0.87
Yellow Sweet Corn,0,1,0,0,86,1.35,3.27,0.52,2,15,270,18.7,2,0,6.26
Cooked Yellow Sweet Corn,0,1,1,0,96,1.5,3.41,0.45,3,1,218,20.98,2.4,0,4.54
Onions,0,1,1,0,40,0.1,1.1,0.21,23,4,146,9.34,1.7,0,4.24
Cooked Onions,0,0,1,0,44,0.19,1.36,0.24,22,3,166,10.15,1.4,0,4.73
Onions Dehydrated Flakes,0,0,0,0,349,0.46,8.95,1.55,257,21,1622,83.28,9.2,0,37.41
Onions Canned Solids And Liquids,0,0,1,0,19,0.09,0.85,0.13,45,371,111,4.02,1.2,0,2.2
Spring Onions,0,0,1,0,32,0.19,1.83,1.48,72,16,276,7.34,2.6,0,2.33
Onions Young Green Tops Only,0,0,1,0,27,0.47,0.97,0.51,52,15,159,5.74,1.8,0,3.91
Onions Welsh Raw,0,0,0,0,34,0.4,1.9,1.22,18,17,212,6.5,2.4,0,2.18
Sweet Onions,0,0,0,0,32,0.08,0.8,0.26,20,8,119,7.55,0.9,0,5.02
Cooked Parsnips,0,1,1,0,71,0.3,1.32,0.58,37,10,367,17.01,3.6,0,4.8
Snow Peas,0,1,1,0,42,0.2,2.8,2.08,43,4,200,7.55,2.6,0,4
Cooked Snow Peas,0,1,1,0,42,0.23,3.27,1.97,42,4,240,7.05,2.8,0,3.99
Peas Green (Includes Baby And Lesuer Types) Canned Drained Solids Unprepared,0,1,1,0,68,0.8,4.47,1.18,23,273,106,11.36,4.9,0,2.99
Peas Green Frozen Cooked Boiled Drained Without Salt,0,1,1,0,78,0.27,5.15,1.52,24,72,110,14.26,4.5,0,4.4
Peas And Carrots Frozen Cooked Boiled Drained Without Salt,0,1,1,0,48,0.42,3.09,0.94,23,68,158,10.12,3.1,0,4.36
Peas And Onions Frozen Cooked Boiled Drained Without Salt,0,1,1,0,45,0.2,2.54,0.94,14,37,117,8.63,2.2,0,3.77
Sauteed Green Bell Peppers,0,1,1,0,116,11.85,0.78,0.3,8,17,134,4.22,1.8,0,2.17
Pigeonpeas Immature Seeds Raw,0,1,1,0,136,1.64,7.2,1.6,42,5,552,23.88,5.1,0,3
Potatoes Flesh And Skin Raw,0,1,1,0,77,0.09,2.05,0.81,12,6,425,17.49,2.1,0,0.82
Potatoes Russet Flesh And Skin Raw,0,1,1,0,79,0.08,2.14,0.86,13,5,417,18.07,1.3,0,0.62
Potatoes White Flesh And Skin Raw,0,1,1,0,69,0.1,1.68,0.52,9,16,407,15.71,2.4,0,1.15
Potatoes Red Flesh And Skin Raw,0,1,1,0,70,0.14,1.89,0.73,10,18,455,15.9,1.7,0,1.29
Baked Russet Potatoes,0,1,1,0,95,0.13,2.63,1.07,18,14,550,21.44,2.3,0,1.08
Potatoes Roasted Salt Added In Processing Frozen Unprepared,0,1,1,0,127,1.81,2.22,0.5,15,298,450,26.15,2.6,0,0.69
Baked Potato (No Skin),0,0,1,0,93,0.1,1.96,0.35,5,5,391,21.55,1.5,0,1.7
Potatoes Baked Skin Without Salt,0,0,1,0,198,0.1,4.29,7.04,34,21,573,46.06,7.9,0,1.4
Apricots Canned Juice Pack With Skin Solids And Liquids,1,0,0,0,48,0.04,0.63,0.3,12,4,165,12.34,1.6,0,10.74
Apricots Canned Light Syrup Pack With Skin Solids And Liquids,1,0,0,0,63,0.05,0.53,0.39,11,4,138,16.49,1.6,0,14.89
Dried Apricots,1,0,0,0,241,0.51,3.39,2.66,55,10,1162,62.64,7.3,0,53.44
Apricots Dried Sulfured Stewed Without Added Sugar,1,0,0,0,85,0.18,1.2,0.94,19,4,411,22.15,2.6,0,19.57
Bananas,1,0,0,0,89,0.33,1.09,0.26,5,1,358,22.84,2.6,0,12.23
Dried Bananas,1,0,0,0,346,1.81,3.89,1.15,22,3,1491,88.28,9.9,0,47.3
Blackberries,1,0,0,0,43,0.49,1.39,0.62,29,1,162,9.61,5.3,0,4.88
Blackberry Juice Canned,1,0,0,0,38,0.6,0.3,0.48,12,1,135,7.8,0.1,0,7.7
Blueberries Canned Heavy Syrup Solids And Liquids,1,0,0,0,88,0.33,0.65,0.33,5,3,40,22.06,1.6,0,20.46
Blueberries (Frozen),1,0,0,0,51,0.64,0.42,0.18,8,1,54,12.17,2.7,0,8.45
Blueberries Frozen Sweetened,1,0,0,0,85,0.13,0.4,0.39,6,1,60,21.95,2.2,0,19.72
Cherimoya,1,0,0,0,75,0.68,1.57,0.27,10,7,287,17.71,3,0,12.87
Sour Red Cherries,1,0,0,0,50,0.3,1,0.32,16,3,173,12.18,1.6,0,8.49
Cherries Sour Red Canned Water Pack Solids And Liquids (Includes USDA Commodity Red Tart Cherries Canned),1,0,0,0,36,0.1,0.77,1.37,11,7,98,8.94,1.1,0,7.6
Cherries Sweet Canned Water Pack Solids And Liquids,1,0,1,0,46,0.13,0.77,0.36,11,1,131,11.76,1.5,0,10.26
